property name,default,large,small,extra large
xl - spacer,xl - spacer,xxl - spacer,l - spacer,xxxl - spacer
l - spacer,xl - spacer,xl - spacer,m - spacer,xxl - spacer
m - spacer,m - spacer,l - spacer,s - spacer,xl - spacer
s - spacer,s - spacer,m - spacer,xs - spacer,l - spacer
h1 - font - desktop,text-5xl,text-5xl,text-5xl,text-5xl
h2 - font - desktop,text-3xl,text-3xl,text-3xl,text-3xl
h3 - font - desktop,text-xl,text-xl,text-xl,text-xl
l - font - desktop,text-lg,text-lg,text-lg,text-lg
m - font - desktop,text-base,text-base,text-base,text-base
s - font - desktop,text-xs,text-xs,text-xs,text-xs
h1 - font - tablet,text-5xl,text-5xl,text-5xl,text-5xl
h2 - font - tablet,text-3xl,text-3xl,text-3xl,text-3xl
h3 - font - tablet,text-xl,text-xl,text-xl,text-xl
l - font - tablet,text-lg,text-lg,text-lg,text-lg
m - font - tablet,text-base,text-base,text-base,text-base
s - font - tablet,text-xs,text-xs,text-xs,text-xs
h1 - font - mobile,text-5xl,text-5xl,text-5xl,text-5xl
h2 - font - mobile,text-3xl,text-3xl,text-3xl,text-3xl
h3 - font - mobile,text-xl,text-xl,text-xl,text-xl
l - font - mobile,text-lg,text-lg,text-lg,text-lg
m - font - mobile,text-base,text-base,text-base,text-base
s - font - mobile,text-xs,text-xs,text-xs,text-xs
