property name,classic,international,cofe,funky,tech,edgy
human,Roboto Serif,Noto Serif,Libre Baskerville,PT Serif,Source Serif Pro,IBM Plex Serif
display,Roboto,Noto Sans,Libre Franklin,PT Sans,Source Sans Pro,IBM Plex Sans
machine,Roboto Mono,Noto Sans Mono,Fira Code,PT Mono,Source Code Pro,IBM Plex Mono
primary - light,black,cyan-600,amber-800,teal-500,blue-700,indigo-600
secondary - light,white,stone-100,amber-400,fuchsia-300,slate-200,stone-300
background - light,neutral-100,white,amber-50,amber-50,slate-50,stone-50
primary - dark,white,cyan-500,amber-600,teal-200,blue-700,indigo-500
secondary - dark,black,stone-600,yellow-300,fuchsia-200,slate-500,stone-400
background - dark,stone-700,black,stone-700,orange-900,slate-800,stone-800
s - border - radius - desktop,rounded-sm,rounded-sm,rounded-sm,rounded-sm,rounded-sm,rounded-none
m - border - radius - desktop,rounded-md,rounded-md,rounded-md,rounded-md,rounded-md,rounded-none
l - border - radius - desktop,rounded-lg,rounded-lg,rounded-lg,rounded-lg,rounded-lg,rounded-none
s - border - radius - tablet,rounded-sm,rounded-sm,rounded-sm,rounded-sm,rounded-sm,rounded-none
m - border - radius - tablet,rounded-md,rounded-md,rounded-md,rounded-md,rounded-md,rounded-none
l - border - radius - tablet,rounded-lg,rounded-lg,rounded-lg,rounded-lg,rounded-lg,rounded-none
s - border - radius - mobile,rounded-sm,rounded-sm,rounded-sm,rounded-sm,rounded-sm,rounded-none
m - border - radius - mobile,rounded-md,rounded-md,rounded-md,rounded-md,rounded-md,rounded-none
l - border - radius - mobile,rounded-lg,rounded-lg,rounded-lg,rounded-lg,rounded-lg,rounded-none
none - border - radius,rounded-none,rounded-none,rounded-none,rounded-none,rounded-none,rounded-none
border - strength,1,1,0,1,1,1
drop shadow - strength,0,0,0,0,0,0
drop shadow - color,transparent,transparent,black/25,transparent,transparent,transparent
